student_id,student_number,gender,age,credits_earned,gpa,school,phone,dream_job
303,11-2657428,Female,21,52,3.06,Gaziantep University,301-292-3870,Web Designer I
304,60-0111826,Male,25,57,2.92,Kohat University of Science and Technology  (KUST),121-500-3447,Speech Pathologist
305,00-4175307,Female,19,85,3.99,Gyeongju University,738-533-5711,Information Systems Manager
306,42-5843718,Male,22,30,2.03,Hannam University,269-693-4747,VP Sales
307,25-3935841,Female,-5,102,3.33,International University of Travnik,172-623-6654,Quality Control Specialist
308,23-7493844,Female,22,105,3.94,Universidade Federal do Acre,243-576-3764,Administrative Officer
309,85-5828451,Male,25,81,3.2,"Fachhochschule Heilbronn, Hochschule für Technik und Wirtschaft",365-413-6347,Office Assistant IV
310,80-7114027,Male,21,118,,,925-666-0466,Senior Editor
311,00-0588221,Female,26,77,3.73,Roosevelt Academy University College,244-644-7897,Senior Editor
312,73-6050693,Female,19,14,3.73,Norwegian School of Economics and Business Administration,722-306-0528,Database Administrator IV
313,57-9956164,Female,25,92,3.25,National Pedagogical University M. Dragomanov ,449-698-3903,Executive Secretary
314,06-1549192,Female,21,99,,,901-366-3530,Community Outreach Specialist
315,30-7616659,Female,26,25,3.12,Okinawa Prefectural University of Fine Arts,805-428-6406,Media Manager II
316,29-2742572,Male,25,53,2.64,Oita University,306-956-5132,Internal Auditor
317,98-5279941,Male,19,120,2.91,Universidad Nacional de La Pampa,193-281-0770,Chief Design Engineer
318,53-3870520,Male,23,102,2.68,Universidad Simón Bolivar,824-841-1671,Developer III
319,86-6487930,Male,20,37,2.06,Takarazuka University of Art and Design,903-808-2069,Systems Administrator I
320,29-2913764,Female,25,90,3.33,"Khalifa University of Science, Technology and Research",589-355-3674,Senior Editor
321,32-8045207,Male,24,91,3.53,Southwest University of Science and Technology,995-312-9359,Software Consultant
322,13-6515312,Female,22,73,3.95,Tamil University,726-225-9556,Administrative Officer
323,55-0340689,Female,23,40,2.75,University of Baghdad,675-233-1006,Junior Executive
324,55-0846316,Female,24,49,,,544-105-8127,Financial Advisor
325,37-0199935,Female,23,55,2.36,Benguet State University,992-323-6348,Tax Accountant
326,04-0209463,Male,22,66,2.48,Universidad Dr. Rafael Belloso Chacín,671-961-0126,Assistant Professor
327,94-9783286,Female,23,85,2.07,"California State University, Fullerton",312-981-1993,Media Manager III
328,96-9540432,Male,25,79,3.67,St. Norbert College,305-198-5203,Associate Professor
329,71-6379621,Female,17,38,3.15,"Long Island University, Southampton College",476-935-6325,Software Test Engineer III
330,56-1782506,Male,18,12,2.5,The College of The Bahamas,779-591-6567,Technical Writer
331,05-2550671,Male,23,3,2.85,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,139-517-1327,Statistician III
332,53-8525402,Male,24,58,2.44,Johnson State College,476-283-8028,Recruiting Manager
333,60-8644050,Female,18,101,2.8,Universidad Surcolombiana,532-977-6263,Senior Quality Engineer
334,23-7865602,Male,23,31,3.64,STMIK Sinar Nusantara,531-215-9205,VP Accounting
335,27-3780745,Female,20,75,3.65,Université Mentouri Constantine,578-363-4072,Business Systems Development Analyst
336,82-3255920,Male,20,11,2.73,St. Mary-of-the-Woods College,251-615-8340,Geologist III
337,08-2880772,Male,24,7,3.31,"CollegeAmerica, Denver",447-584-0740,Human Resources Manager
338,42-3291152,Female,23,95,3.19,Posts & Telecommunications Institute of Technology,129-561-1292,Account Executive
339,07-3285894,Female,25,111,3.05,Kunitachi College of Music,277-407-0583,Analyst Programmer
340,65-6007086,Male,19,55,3.52,Bauhaus Universität Weimar,505-433-2975,Computer Systems Analyst IV
341,58-3712699,Female,20,9,3.66,Université de Kinshasa,773-870-1728,Legal Assistant
342,51-8154423,Female,22,16,2.06,School of Banking and Management in Cracow,113-887-7955,Geologist II
343,40-4787802,Male,17,58,2.68,Universidad Católica Argentina Santa Maria de los Buenos Aires,741-995-9454,Assistant Media Planner
344,34-4222176,Male,22,75,2.58,Philosophisch-Theologische Hochschule Vallendar der Gesellschaft des Katholischen Apostolates (Pallottiner),318-253-5320,Paralegal
345,25-7571932,Male,23,37,2.63,Sapporo International University,681-545-8494,Engineer IV
346,73-5035282,Female,25,119,,,154-674-9541,Compensation Analyst
347,81-2676495,Male,23,59,,,765-447-5088,Senior Quality Engineer
348,11-4700890,Female,,93,2.57,"Federal Polytechnic Bauchi, Nigeria",614-748-4882,Legal Assistant
349,55-9007299,Male,23,26,2.83,Lagos City Polytechnic,109-595-8411,Product Engineer
350,54-4658763,Male,24,15,3.67,EMESCAM - Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória,812-399-5982,Mechanical Systems Engineer
351,23-0792854,Male,24,61,2.42,University of Grigol Robakidze,463-320-8046,Systems Administrator IV
352,26-3095765,Male,,103,2.9,Universidad Politécnica de Valencia,286-842-1442,Software Engineer IV
353,86-4285227,Male,21,92,3.09,Pontifcia Università Gregoriana,298-782-0138,Help Desk Operator
354,93-5924597,Male,18,98,2.94,University of Dongola,270-469-7154,Actuary
355,37-9729902,Male,19,110,2.33,University of Bedfordshire,900-512-1830,Desktop Support Technician
356,20-4603133,Male,17,59,2.66,Universitas Bengkulu,691-538-2513,Senior Sales Associate
357,69-2568588,Male,25,62,2.13,Pomeranian Academy of Medicine in Szczecin,331-630-5361,Payment Adjustment Coordinator
358,86-8151274,Female,25,87,3.9,Briar Cliff College,913-907-7503,Product Engineer
359,24-4918523,Male,25,59,2.58,Universitas Negeri Surabaya,302-145-2043,Automation Specialist III
360,41-4023573,M,21,61,3.37,University of the Philippines Visayas - Cebu High School,893-459-4931,Desktop Support Technician
361,40-5969557,Female,21,101,3.56,Rust College,380-948-5515,Help Desk Technician
362,36-2399290,Female,18,46,3.05,Universidad Motolinía del Pedregal,513-667-3170,Recruiter
363,29-7664467,Female,26,81,3.81,Reformed Church University,463-346-7532,Marketing Assistant
364,86-6052154,Male,19,72,2.6,Westfälische Wilhelms-Universität Münster,474-146-9571,Sales Representative
365,00-8967279,Female,25,42,3.9,Hochschule für Philosophie München,624-711-0444,Senior Developer
366,57-5287795,Male,20,101,2.28,University of Wisconsin - Parkside,647-626-9267,Project Manager
367,23-9347311,Female,17,110,2.36,Southern Denmark Business School,804-445-6872,Human Resources Assistant IV
368,39-0586226,Female,22,19,3.16,Escuela Superior de Gestion Comercial y Marketing (ESIC),338-769-2942,Media Manager II
369,89-8869490,Male,21,13,2.42,Universität Bremen,969-561-2789,Human Resources Assistant II
370,88-7078874,Male,22,49,3.07,Ecole Supérieure d'Ingénieurs et de Techniciens pour l'Agriculture,369-251-8014,Food Chemist
371,20-2185241,Male,17,16,2.13,Gokhale Institute of Politics and Economics,406-378-1567,Senior Sales Associate
372,35-1452866,Male,24,85,3.77,Tafila Technical University ,237-459-4216,Help Desk Technician
373,29-2455526,F,17,119,2.31,Yamagata University,854-138-8996,Database Administrator III
374,93-4541433,Male,22,81,2.29,Rensselaer Polytechnic Institute,969-673-4693,Geological Engineer
375,65-7923857,Male,23,56,3.14,Hong Kong University of Science and Technology,650-983-9118,Director of Sales
376,61-9384342,Female,17,120,2.67,New England School of Law,195-442-2775,Product Engineer
377,96-9993792,Female,24,21,2.18,Technische Universität Wien,622-621-5459,Director of Sales
378,38-6822661,Female,,24,2.43,University of Malawi,416-974-7850,Account Representative III
379,86-4520520,Female,23,103,3.48,Brandenburgische Technische Universität Cottbus,641-679-2605,Staff Accountant I
380,14-6783068,Male,21,45,2.85,Durban Institute of Technology,430-835-1058,Analog Circuit Design manager
381,71-2901019,Male,20,51,2.85,Central South Forestry University,788-521-3850,Accountant I
382,59-2023993,Female,17,50,,,463-542-3470,Administrative Assistant II
383,50-6450171,Male,19,80,3.97,Christian Heritage College,915-991-6597,Engineer II
384,06-6257351,Female,19,30,2.54,University of Crete,539-908-7213,Information Systems Manager
385,27-2611171,Male,25,42,3.36,Shanghai Jiaotong University,501-390-9289,VP Accounting
386,92-8116257,Female,18,117,3.06,Vilnius Academy of Arts,273-787-4344,Director of Sales
387,11-0384181,Female,26,97,2.88,Fachhochschule Gelsenkirchen,208-834-8560,Chief Design Engineer
388,50-0851236,Male,20,10,3.83,Murdoch University,871-327-7066,Geological Engineer
389,72-6618908,Female,22,31,3.38,Universität der Bundeswehr Hamburg,160-598-0510,VP Marketing
390,86-0363627,Female,25,20,3.85,Kyoto City University of Arts,736-131-4108,VP Product Management
391,16-3615227,Female,17,61,2.35,Mashhad University of Medical Sciences,464-461-7930,Teacher
392,76-8798525,Male,20,59,2.52,Illinois College,295-254-5841,GIS Technical Architect
393,65-7924195,Male,26,9,2.74,Universidade Federal de Ouro Preto,236-919-8241,Business Systems Development Analyst
394,40-9993037,Male,25,16,2.24,Centro de Enseñanza Técnica Industrial,838-898-7006,Programmer Analyst III
395,40-1527505,Female,20,54,2.83,University of Split,320-835-9387,Structural Analysis Engineer
396,68-1978458,Male,21,26,,,910-724-1868,Recruiting Manager
397,68-2768762,Male,17,94,3.18,"Florida Metropolitan University, Fort Lauderdale College",701-400-4943,Design Engineer
398,91-9098872,M  ,,12,3.86,Australian Maritime College,829-425-0067,Environmental Specialist
399,28-3351865,Male,26,57,2.58,Universidad Gabriela Mistral,529-610-4088,Health Coach III
400,60-1836548,Male,21,83,2.43,University of the Philippines Diliman,664-975-4806,Senior Editor
401,19-4339264,Female,21,3,3.07,European University of Lefke,145-129-1057,Office Assistant IV
402,98-9412825,Female,23,82,3.5,Hochschule Magdeburg-Stendal (FH),462-878-8166,Account Executive
403,53-4676215,Female,26,37,2.55,Escuela Nacional de Estudios Superiores Unidad León,547-740-3487,Senior Cost Accountant
404,39-2717296,Female,24,106,3.13,Belgorod State Agricultural Academy,141-374-9560,Senior Sales Associate
405,08-5031969,Female,18,106,2.2,Prince of Songkla University,207-953-1240,Quality Engineer
406,40-0025816,Male,18,112,2.71,Technical University of Iasi,236-445-9319,Statistician II
407,67-6603413,Female,19,54,2.01,Narendra Deva University of Agriculture and Technology,563-650-5229,Product Engineer
408,76-1969308,Male,26,61,2.38,Institut Catholique de Paris,160-523-5520,Office Assistant I
409,01-3807901,Male,20,46,2.3,Universidad Michoacana de San Nicolás de Hidalgo,540-338-0629,Environmental Tech
410,71-3475442,Male,17,32,2.33,Aljouf University,931-647-7635,Geologist II
411,11-4137962,Female,23,9,3.03,"California State University, Stanislaus",121-913-9883,Legal Assistant
412,54-9253165,Female,25,101,2.24,International Academy of  Merchandising and Design Chicago,540-186-5033,VP Accounting
413,52-7800404,Female,20,6,2.87,Regis College,331-222-8820,Administrative Officer
414,58-8602093,Male,26,98,3.09,Private Hanseuniversität,214-843-6444,Biostatistician II
415,45-0819747,Female,19,85,2.46,College of New Rochelle,410-440-2400,Research Nurse
416,99-1804435,Male,17,78,2.74,Chung-Ju National University,726-996-6152,Junior Executive
417,41-8947948,F,24,29,3.19,School of the Museum of Fine Arts,516-453-5232,Senior Financial Analyst
418,95-4679699,Female,21,75,3.53,Kobe International University,665-746-4201,Health Coach IV
419,49-8295689,Male,19,48,2.47,Nairobi Institute of Business Studies ,915-831-5414,Data Coordiator
420,31-2435481,Male,25,104,3.55,Kenya College of Accountancy,617-277-9588,Cost Accountant
421,64-5996310,Male,22,94,3.53,"Rasmussen College, Illinois Campuses",527-734-4863,Information Systems Manager
422,01-2815096,Female,25,12,3.03,Open University of Cyprus,946-430-8874,Desktop Support Technician
423,94-1506844,Female,17,89,3.89,Universidad de Oriente,601-977-6125,Accountant II
424,89-2423192,Female,22,112,,,570-381-9734,Environmental Specialist
425,89-4728745,Male,17,5,2.28,Mejiro University,375-646-8913,VP Product Management
426,82-4338494,Female,21,49,2.22,Yasuj University,228-809-6967,Administrative Assistant III
427,30-6203996,Male,24,23,3.31,Queensland University of Technology,471-893-9525,Chemical Engineer
428,94-7728662,Male,22,15,3.79,Universidad de San Pedro Sula,126-383-5692,Registered Nurse
429,89-2475689,Male,24,52,2.29,Universidad Blas Pascal,707-735-0736,Associate Professor
430,48-9839623,Male,17,47,2.22,Scholl College of Podiatric Medicine,531-815-1826,Environmental Specialist
431,25-1786936,Female,19,42,2.67,Mu' tah University,396-319-5212,Assistant Manager
432,66-1378004,Male,17,54,3.34,Murdoch University,849-539-4546,Senior Cost Accountant
433,74-5746333,Female,24,41,3.61,Illinois College of Optometry,647-161-8265,Registered Nurse
434,60-3980194,Male,22,83,3.43,Universitas Trisakti,816-701-3538,Environmental Specialist
435,11-8737848,Female,18,58,2.22,Soochow University,844-741-9800,Recruiting Manager
436,16-3382546,Male,26,88,3.45,Minot State University,692-544-9690,Senior Sales Associate
437,22-5509864,Female,21,17,,,956-581-3264,Administrative Assistant IV
438,55-8393573,Male,20,86,3.24,University of Connecticut Health Center,489-715-0567,Biostatistician I
439,25-8686804,Male,20,14,,,978-872-0997,Database Administrator II
440,04-5734272,Female,18,14,3.53,Fachhochschule Jena,411-627-1048,Structural Analysis Engineer
441,48-9096630,Male,26,53,,,175-548-4382,Sales Associate
442,85-2556098,Male,20,69,3.37,Vidyasagar University,921-588-4876,Dental Hygienist
443,43-8105736,Female,19,55,2.86,University of Roorkee,861-648-2203,Social Worker
444,61-4639086,Male,18,13,2.67,Ithaca College,923-711-5616,Compensation Analyst
445,52-9972743,Female,25,100,2.75,Copperbelt University,971-770-0935,Business Systems Development Analyst
446,45-9983870,Female,17,54,2.71,Thomas Aquinas College,844-569-3967,Web Developer III
447,48-7446214,Female,20,29,2.76,Information and Communications University,807-198-0668,Nurse
448,22-7436824,Female,17,78,3.94,Gordon College,511-156-4454,Dental Hygienist
449,39-0481116,Male,18,51,3.05,Universidade de Itaúna,820-257-6656,Electrical Engineer
450,68-1548438,Male,20,37,3.7,Emory & Henry College,984-907-4938,Staff Scientist
451,67-2172910,Male,25,42,3.65,University College Bahrain,286-596-3198,Technical Writer
452,72-6221434,Female,19,52,2.77,University of Applied Sciences of Moldova,990-231-6421,Structural Engineer
453,74-0028994,Male,22,88,3.67,University of Asia and the Pacific,961-550-6665,Senior Sales Associate
454,94-6856975,Male,23,17,2.05,University of Limpopo,698-650-1591,Staff Accountant I
455,09-1290377,Female,26,112,3.1,National University of Music,230-716-0959,VP Marketing
456,77-9713951,Male,,38,3.4,Universidad Nacional de San Martín,590-879-5076,Web Developer III
457,60-2427942,Male,26,102,2.79,Shivaji University,890-133-3205,Clinical Specialist
458,62-9956923,Male,17,29,2.74,Sunway University College,349-792-6654,Analyst Programmer
459,35-1243628,Female,25,80,3.27,Universidade Autónoma de Lisboa Luís de Camoes,580-632-1663,Statistician IV
460,03-9048037,Female,19,82,3.02,Boise State University,468-484-6070,Editor
461,81-1279184,Female,19,25,2.43,Philosophisch-Theologische Hochschule Vallendar der Gesellschaft des Katholischen Apostolates (Pallottiner),579-574-3804,Electrical Engineer
462,67-6586886,Female,23,98,2.5,"Polytechnic University, Long Island Campus",889-376-6814,Technical Writer
463,71-7253260,Female,22,62,2.19,University of Waikato,607-240-0900,Graphic Designer
464,39-4670723,Male,25,73,2.82,"University of Washington, Tacoma",444-939-4381,Assistant Manager
465,95-0576942,Female,19,85,2.07,Universidad Católica Cecilio Acosta,808-236-8305,Human Resources Manager
466,20-2665010,Male,19,23,2.58,International Islamic College of Penang,293-302-0987,Sales Associate
467,42-1446334,Male,24,55,3.22,International College of Tourism and Hotel Management,106-485-2194,Speech Pathologist
468,03-1199341,Male,20,51,2.23,Universidade de Aveiro,587-675-5231,Research Nurse
469,37-9228668,Male,20,9,2.8,Build Bright University,454-719-2423,VP Quality Control
470,18-6825468,Male,19,29,2.58,Instituto Superior de Ciências Educativas,797-337-4869,General Manager
471,14-5361786,Female,23,57,3.36,University of Southampton,801-898-9122,Director of Sales
472,56-4403843,Female,25,105,2.36,Riphah International Univeristy,835-169-7151,Software Consultant
473,71-9178848,Male,24,31,2.52,Jami Institute of Technology,287-323-7950,Marketing Assistant
474,93-9580376,Female,17,11,3.01,Krasnoyarsk State Technical University,693-365-2701,Assistant Manager
475,71-8761412,Male,18,39,3.67,Dr. YS Parmar University of Horticulture and Forestry,190-488-3785,Professor
476,35-2319939,Male,18,57,2.16,Rostov State Medical University,491-979-4610,Technical Writer
477,94-6169244,F,24,19,3.84,Mayo Medical School,523-353-6953,VP Accounting
478,28-9063233,Male,23,106,2.15,Harbin Normal University,251-812-6013,Sales Associate
479,62-6050948,Male,22,57,3.45,College of St. Mary,347-149-8911,Technical Writer
480,33-7995439,Female,17,81,3.98,Gaziantep University,588-193-3564,Programmer Analyst IV
481,81-4531206,Female,24,4,2.53,Tokyo University of Foreign Studies,512-215-1166,Nuclear Power Engineer
482,18-0437451,Male,,30,2.48,Universidad Autónoma de la Laguna,392-440-9640,Tax Accountant
483,04-5648401,Female,20,35,2.07,Marymount Manhattan College,371-779-0340,Research Associate
484,23-8701705,Female,17,72,3.48,Ecole Nationale d'Ingénieurs des Travaux Agricoles de Bordeaux,949-935-6538,Junior Executive
485,69-4741215,Female,21,104,2.42,University of Tasmania,968-332-3504,Clinical Specialist
486,24-9788496,Male,25,47,2.01,Kanda University of International Studies,782-847-5674,Analog Circuit Design manager
487,74-6726336,Male,21,82,3.23,The College of Santa Fe,808-534-2146,Teacher
488,53-8137859,Male,18,74,3.76,San Diego State University,117-628-9868,Budget/Accounting Analyst I
489,00-2943839,Male,22,98,2.47,Uludag University,481-882-5609,Biostatistician III
490,80-2598213,Female,,85,3.31,St. Joseph's College New York,349-337-9292,Software Engineer I
491,13-7130695,Female,17,34,3.24,Northern State Medical University,466-970-5844,Staff Scientist
492,52-6335372,Male,18,46,3.81,Universidad Nacional de La Pampa,738-556-3045,Paralegal
493,34-1208433,Male,18,12,3.92,Hochschule für Philosophie München,798-546-2456,Engineer I
494,46-0182463,Female,24,15,3.77,Brevard College,535-151-0279,Account Executive
495,80-6562713,Male,18,35,2.12,Colorado State University-Pueblo,779-471-6663,Statistician IV
496,83-1790524,Male,24,82,2.6,Vancouver Community College,511-293-8180,Associate Professor
497,07-7055429,Female,24,62,3.41,University of Asia and the Pacific,909-457-2311,Senior Cost Accountant
498,37-0902632,Male,17,111,2.12,Universidad Nacional Jorge Basadre Grohmann,749-439-6804,GIS Technical Architect
499,18-1895879,Female,23,54,3.52,Universidad de Playa Ancha de Ciencias de la Educacion,765-568-5110,Chief Design Engineer
500,74-4661951,Female,24,86,3.91,Karunya Institute Of Technology ( Deemed University),727-439-0926,Assistant Professor
